M_ID,M_name,Element,HP,AT,MAT,DF,MDF,Speed,A_AV,M_AV,P_Immune,M_Immune,P_Half,M_Half,E_Immune,E_Half,Status_Resist,Death_Resist,EXP,Gold,Drop,Drop_Chance,M_extra_name
17,Hell Hound,Fire,0,0,0,0,0,0,5,0,0,0,0,0,None,None,99,0,20,9,Burn Out,8,Hell Hound
102,Sandora Elite,Dark,0,0,0,0,0,0,10,0,0,0,0,0,None,None,255,128,30,30,Gushing Magma,8,Sandora Elite II
266,Kongol,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,2000,200,Wargod Calling,30,Kongol II
267,Doel,Thunder,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,128,3000,200,None,0,Doel
268,Dragoon Doel,Thunder,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,128,0,0,None,0,Dragoon Doel
69,Frilled Lizard,Earth,0,0,0,0,0,0,5,0,0,0,0,0,None,None,99,0,36,21,Healing Potion,8,Frilled Lizard
1,Scissorhands,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,40,18,Meteor Fall,8,Scissorhands
99,Arrow Shooter,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,32,24,Bemusing Arrow,2,Arrow Shooter
108,Stinger,Earth,0,0,0,0,0,0,20,0,0,0,0,0,None,None,227,0,38,12,Body Purifier,8,Stinger
26,Earth Shaker,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,16,48,15,Stunning Hammer,8,Earth Shaker
299,Mappi,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,128,2000,150,Total Vanishing,100,Mappi I
274,Crafty Thief,Dark,0,0,0,0,0,0,5,0,0,0,0,0,None,None,255,128,0,0,Pellet,8,Crafty Thief(Mappi)
52,Erupting Chick,Wind,0,0,0,0,0,0,20,0,0,0,0,0,None,None,99,0,32,15,Mind Purifier,8,Erupting Chick
29,Roc,Wind,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,16,44,24,Down Burst,8,Roc
16,Dragonfly,Thunder,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,48,21,Angel's Prayer,8,Dragonfly
14,Spider Urchin,Thunder,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,40,18,Poison Needle,8,Spider Urchin
106,Killer Bird,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,36,12,Panic Bell,8,Killer Bird
311,Virage(Head),Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,4500,200,Moon Serenade,100,Complete Virage(Head)
313,Virage(Body),Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,None,0,Complete Virage(Body)
312,Virage(Arm),Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,225,144,0,0,None,0,Complete Virage(Arm)
83,Crafty Thief,Dark,0,0,0,0,0,0,5,0,0,0,0,0,None,None,99,0,50,18,Pellet,8,Crafty Thief
82,Gangster,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,60,12,Bandit's Ring,2,Gangster
79,Berserker,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,111,0,55,15,Energy Gridle,2,Berserker
109,Piggy,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,40,21,Sachet,2,Piggy
300,Mappi,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,128,0,0,Diamond Claw,25,Mappi II
301,Gehrich,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,128,5000,200,Soul Headband,25,Gehrich
293,Lenus,Water,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,6000,200,None,0,Lenus I
86,Will-O'-Wisp,Fire,0,0,0,0,0,0,20,0,0,0,0,0,None,None,99,0,48,12,None,0,Will-O'-Wisp I
154,Will-O'-Wisp,Fire,0,0,0,0,0,0,20,0,0,0,0,0,None,None,99,0,48,12,None,0,Will-O'-Wisp II
18,Death,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,127,144,66,30,Total Vanishing,8,Death
85,Skeleton,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,16,60,21,Broad Sword,2,Skeleton
70,Magician Bogy,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,16,72,24,Magical Hat,2,Magician Bogy
340,Ghost Commander,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,6000,200,Night Raid,100,Ghost Commander
341,Ghost Knight,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,None,0,Ghost Knight
23,Glare,Water,0,0,0,0,0,0,10,0,0,0,0,0,None,None,99,0,70,18,Mind Purifier,8,Glare
76,Screw Shell,Water,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,63,24,Healing Potion,8,Screw Shell
91,Mermaid,Water,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,77,33,Spirit Potion,8,Mermaid
110,Sea Piranha,Water,0,0,0,0,0,0,20,0,0,0,0,0,None,None,99,0,56,15,Spear Frost,8,Sea Piranha
12,Flabby Troll,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,16,84,30,Knight Shield,2,Flabby Troll
294,Lenus,Water,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,128,0,0,Jeweled Crown,50,Lenus II
279,Regole,Water,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,7000,250,Frozen Jet,100,Regole
53,Flying Rat,Wind,0,0,0,0,0,0,20,0,0,0,0,0,None,None,99,0,64,24,Angel's Prayer,8,Flying Rat
73,Forest Runner,Wind,0,0,0,0,0,0,10,0,0,0,0,0,None,None,99,0,88,30,Recovery Ball,8,Forest Runner
51,Wounded Bear,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,107,16,96,60,Attack Ball,8,Wounded Bear
95,Dark Elf,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,80,36,Depetrifier,8,Dark Elf
117,Moss Dresser,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,72,18,Healing Fog,8,Moss Dresser
343,Kamuy,Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,8000,0,Darkness Stone,100,Kamuy
339,Kamuy's Tree,Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,None,0,Kamuy Dummy
44,Puck,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,90,36,Dancer's Ring,2,Puck
43,Fairy,Light,0,0,0,0,0,0,10,10,0,0,0,0,None,None,99,0,81,24,Sun Rhapsody,8,Fairy
30,Gnome,Earth,0,0,0,0,0,0,0,0,0,0,0,0,Earth,None,255,0,108,42,Healing Potion,8,Gnome
2,Spinninghead,Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,128,99,30,Mind Purifier,8,Spinninghead
111,Toad Stool,Earth,0,0,0,0,0,0,20,0,0,0,0,0,None,None,227,0,72,18,Body Purifier,8,Toad Stool
316,S Virage(Head),Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,4000,200,Healing Rain,100,WS Virage(Head)
317,S Virage(Body),Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,None,0,WS Virage(Body)
318,S Virage(Arm),Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,None,0,WS Virage(Arm)
335,Grand Jewel,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,9000,300,Spectral Flash,100,Grand Jewel
96,Baby Dragon,Thunder,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,100,27,Mind Purifier,8,Baby Dragon
6,Beastie Dragon,Wind,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,16,110,33,Total Vanishing,8,Beastie Dragon
112,Mega Sea Dragon,Fire,0,0,0,0,0,0,10,0,0,0,0,0,None,None,99,0,80,21,Gushing Magma,8,Mega Sea Dragon
113,Deadly Spider,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,227,0,90,39,Body Purifier,8,Deadly Spider
37,Wyvern,Wind,0,0,0,0,0,0,20,0,0,0,0,0,None,None,99,0,120,45,Down Burst,8,Wyvern
283,Divine Dragon,Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,10000,300,Dragon Shield,20,Divine Dragon
284,Divine Cannon,Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,Gravity Grabber,100,Divine Cannon
285,Divine Ball,Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,Flash Hall,100,Divine Ball
32,Freeze Knight,Water,0,0,0,0,0,0,0,0,0,0,0,0,Water,None,255,16,110,27,Fatal Blizzard,8,Freeze Knight
48,Mammoth,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,144,132,45,Stunning Hammer,8,Mammoth
114,Icicle Ball,Water,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,121,21,Spirit Potion,8,Icicle Ball
5,Land Skater,Water,0,0,0,0,0,0,10,0,0,0,0,0,None,None,99,0,88,33,Spear Frost,8,Land Skater
67,Rocky Turtle,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,16,99,39,Guard Badge,2,Rocky Turtle
347,Snow Cannon,Water,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,None,0,Snow Cannon
346,Windigo,Water,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,11000,250,Brass Knuckle,100,Windigo
348,Heart,Water,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,147,0,0,None,0,Heart
270,Lloyd,Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,12000,300,None,0,Lloyd II
277,Lloyd Dome,Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,None,0,Lloyd Dome
49,Metal Fang,Thunder,0,0,0,0,0,0,5,0,0,0,0,0,None,None,99,0,135,42,Beast Fang,2,Metal Fang
25,Dragon Soldier,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,180,60,Knight Shield,2,Dragon Soldier
11,Basilisk,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,0,0,0,None,0,Basilisk
56,Madman,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,165,24,Body Purifier,8,Madman I
144,Madman,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,165,24,Body Purifier,8,Madman II
345,Faust,Non-Elemental,0,0,0,0,0,0,0,20,0,0,0,0,None,None,255,144,0,0,None,0,Faust Copy
344,Faust,Non-Elemental,0,0,0,0,0,0,0,20,0,0,0,0,None,None,255,144,20000,10000,Phantom Shield,100,Faust
342,Mazo,Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,None,0,Dummy Faust
57,Wildman,Thunder,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,120,36,Giganto Ring,2,Wildman
31,Bowling,Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,0,132,42,Attack Ball,8,Bowling
50,Windy Weasel,Wind,0,0,0,0,0,0,20,0,0,0,0,0,None,None,99,0,96,21,Rave Twister,8,Windy Weasel
20,White Ape,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,144,51,Healing Potion,8,White Ape
116,Mr. Bone,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,108,30,Bastard Sword,2,Mr. Bone
349,Polter Helm,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,6000,200,None,0,Polter Helm
350,Polter Armor,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,Smoke Ball,100,Polter Armor
351,Polter Sword,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,Soul Eater,100,Polter Sword
39,Spring Hitter,Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,0,117,21,Healing Fog,8,Spring Hitter
47,Succubus,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,130,42,Platinum Collar,2,Succubus
65,Maximum Volt,Thunder,0,0,0,0,0,0,0,0,0,0,0,0,Thunder,None,255,0,156,51,Flash Hall,8,Maximum Volt
63,Witch,Light,0,0,0,0,0,0,0,5,0,0,0,0,None,None,99,0,104,36,Angel's Prayer,8,Witch
41,Terminator,Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,0,143,30,Total Vanishing,8,Terminator
295,Damia,Water,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,128,6000,300,Blue Sea Stone,100,Damia
296,Syuveil,Wind,0,0,0,0,0,0,10,0,0,0,0,0,None,None,255,128,6000,300,Jade Stone,100,Syuveil
297,Belzac,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,128,6000,300,Golden Stone,100,Belzac
298,Kanzas,Thunder,0,0,0,0,0,0,10,0,0,0,0,0,None,None,255,128,6000,300,Violet Stone,200,Kanzas
89,Cactus,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,126,36,Recovery Ball,15,Cactus
3,Sandworm,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,16,168,51,Spirit Potion,8,Sandworm
61,Spiky Beetle,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,140,42,Attack Ball,8,Spiky Beetle
36,Canbria Dayfly,Wind,0,0,0,0,0,0,10,0,0,0,0,0,None,None,227,0,112,30,Body Purifier,8,Canbria Dayfly
75,Scud Shark,Water,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,16,150,39,Body Purifier,8,Scud Shark
60,Jelly,Water,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,120,24,Healing Fog,10,Jelly
72,Stern Fish,Water,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,16,165,54,Frozen Jet,8,Stern Fish
9,Minotaur,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,107,16,180,48,Heavy Mace,2,Minotaur
121,Aqua King,Water,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,135,30,Angel's Prayer,8,Aqua King
365,Last Kraken,Water,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,12000,300,Pretty Hammer,100,Last Kraken
366,Cleone,Water,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,None,0,Cleone
80,Professor,Wind,0,0,0,0,0,0,10,0,0,0,0,0,None,None,99,0,176,54,Sage's Cloak,2,Professor
40,Guillotine,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,0,160,39,Healing Breeze,8,Guillotine
97,Harpy,Wind,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,0,0,0,None,0,Harpy
122,Sky Chaser,Wind,0,0,0,0,0,0,20,0,0,0,0,0,None,None,99,16,128,30,Body Purifier,8,Sky Chaser
118,Death Purger,Dark,0,0,0,0,0,0,10,0,0,0,0,0,None,None,127,128,144,24,Total Vanishing,8,Death Purger
360,Vector,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,12000,300,None,0,Vector
361,Selebus,Dark,0,0,0,0,0,0,10,0,0,0,0,0,None,None,255,144,0,0,None,0,Kubila
362,Kubila,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,None,0,Selebus
84,Undead,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,127,0,153,39,Mind Purifier,8,Undead
78,Loner Knight,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,0,187,48,Soul Eater,2,Loner Knight
10,Hyper Skeleton,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,204,54,Spear of Terror,2,Hyper Skeleton
101,Specter,Dark,0,0,0,0,0,0,50,0,0,0,0,0,None,None,99,0,170,30,Midnight Terror,8,Specter II
152,Specter,Dark,0,0,0,0,0,0,50,0,0,0,0,0,None,None,99,0,170,30,Midnight Terror,8,Specter II
125,Human Hunter,Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,0,136,24,Recovery Ball,8,Human Hunter
352,Dragon Spirit,Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,8000,400,Flash Hall,100,Divine Dragon Spirit
383,Dragon Spirit Dummy,Non-Elemental,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,None,0,Divine Dragon Spirit Dummy
353,Dragon Spirit,Water,0,0,0,0,0,0,0,5,0,0,0,0,None,None,255,144,6000,300,Frozen Jet,100,Regole Spirit
384,Dragon Spirit Dummy,Water,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,140,0,0,None,0,Regole Spirit Dummy
354,Dragon Spirit,Wind,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,4000,200,Down Burst,100,Feyrbrand Spirit
385,Dragon Spirit Dummy,Wind,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,None,0,Feyrbrand Spirit Dummy
363,Zackwell,Dark,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,0,0,Healing Rain,100,
364,Lavitz's Spirit,Wind,0,0,0,0,0,0,0,0,0,0,0,0,None,None,255,144,12000,300,Halberd,50,Lavitz's Spirit
77,Potbelly,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,144,24,Healing Breeze,8,Potbelly
62,Slug,Earth,0,0,0,0,0,0,0,0,0,0,0,0,None,None,99,0,180,33,Mind Purifier,10,Slug
98,Cute Cat,Thunder,0,0,0,0,0,0,5,5,0,0,0,0,None,None,99,0,162,51,Dancer's Boots,2,Cute Cat
