Item Name	Equip Type	Who equips	Icon	Element	Status	Status Chance	AT	MAT	DF	MDF	SPD	A-Hit	M-Hit	A-AV	M-AV	E_Half	E_Immune	Status_Resist	Special1	Special2	Special_Ammount	Death_Res	Description	Price(even)
Energy Girdle	Armor	Haschel	Warrior Dress						37	26				10					sp_multi		50		Gives 50% more SP<END>	300
Violet DG Armor	Armor	Haschel	Warrior Dress						45	40				10	10		Thunder						Nullifies damage<LINE>due to thunder-<LINE>based attacks.<END>	800
Clothes	Armor	Female	Robe						4	5				5	5								 <END>	20
Leather Jacket	Armor	Female	Robe						7	12				5	5								 <END>	50
Silver Vest	Armor	Female	Robe						13	27				10	5								 <END>	150
Sparkle Dress	Armor	Female	Robe						19	45				5	5				sp_p_hit		20		When attacked <LINE>physically, SP is <LINE>accumulated.<END>	200
Robe	Armor	Female	Robe						25	35				5	5				sp_m_hit		20		When attacked <LINE>magically, SP is <LINE>accumulated.<END>	300
Silver DG Armor	Armor	Shana	Armor						27	80				5	5		Light						Nullifies damage<LINE>due to light-<LINE>based attacks.<END>	800
Dark DG Armor	Armor	Rose	Armor						41	42				5	5		Dark						Nullifies damage<LINE>due to darkness-<LINE>based attacks.<END>	800
Blue DG Armor	Armor	Meru	Armor						30	54				5	5		Water						Nullifies damage<LINE>due to water-<LINE>based attack.<END>	800
Armor of Yore	Armor	Dart, Lavitz	Armor						35	35								Poison, Stun, Arm Blocking					Avoids <LINE>poison/stun/arm<LINE>blocking.<END>	500
Satori Vest	Armor	Haschel	Warrior Dress						40	31				10				Poison, Stun, Arm Blocking					Avoids <LINE>poison/stun/arm<LINE>blocking.<END>	500
Rainbow Dress	Armor	Female	Robe						32	55				5	5			Poison, Stun, Arm Blocking					Avoids <LINE>poison/stun/arm<LINE>blocking.<END>	500
Angel Robe	Armor	Shana, Meru	Robe						10	20				5	5					revive	40		Revives from <LINE>death with a <LINE>given probability.<END>	500
Armor of Legend	Armor	All	Armor						127					50					p_half				Greatly reduces <LINE>damage from <LINE>physical attacks.<END>	10000
																							 <END>	2
Bandana	Helm	Male	Bandana					3				100	100										 <END>	10
Sallet	Helm	Male	Helm					8				110	100										Increases hit <LINE>rate of physical<LINE>attacks by 10%.<END>	40
Armlet	Helm	Male	Helm					23		5		100	100										 <END>	100
Knight Helm	Helm	Male	Helm					37	5			100	100						sp_m_hit		20		When magically <LINE>attacked, SP is <LINE>accumulated.<END>	150
Giganto Helm	Helm	Kongol	Helm					14	10	5		100	100						sp_m_hit		20		When magically <LINE>attacked, SP is <LINE>accumulated.<END>	200
Soul Headband	Helm	Haschel	Bandana					25	5	5		100	100						sp_m_hit		20		When magically <LINE>attacked, SP is <LINE>accumulated.<END>	200
Felt Hat	Helm	Female	Hat					5				100	100										 <END>	10
Cape	Helm	Female	Hat					17				100	100										 <END>	60
Tiara	Helm	Female	Crown					42	5			100	110										Increases hit<LINE>rate of magical<LINE>attacks by 10%.<END>	150
Jeweled Crown	Helm	Shana, Meru	Crown					24		5		100	100						sp_m_hit		20		When magically <LINE>attacked, SP is <LINE>accumulated.<END>	200
Rose's Hair Band	Helm	Rose	Bandana					36				100	100									death_res	Avoids instant <LINE>death.<END>	250
																							 <END>	2
Phoenix Plume	Helm	All	Helm					30		10		100	100					Bewitchment, Confusion, Fear, Dispirit					Avoids bewitching,<LINE>confusion, fear <LINE>and dispiriting.<END>	600
Legend Casque	Helm	All	Helm					50		127		100	100		50					m_half			Reduces damage<LINE>due to magical<LINE>attacks.<END>	10000
Dragon Helm	Helm	All	Helm					50	10			100	100							hp_multi	50		Raises maximum<LINE>HP 50%.<END>	500
Magical Hat	Helm	All	Hat					50		10		100	100							mp_multi	50		Raises maximum<LINE>MP 50%.<END>	500
																							 <END>	2
Leather Boots	Boots	Male	Boots																				 <END>	10
Iron Kneepiece	Boots	Male	Kneepiece						5														 <END>	100
Combat Shoes	Boots	Male	Shoes						5					5									Increases escape<LINE>rate from physical<LINE>attacks by 5 pts.<END>	150
Leather Shoes	Boots	Female	Shoes																				 <END>	10
Soft Boots	Boots	Female	Boots						5														 <END>	100
Stardust Boots	Boots	Female	Boots						5						5								Increases escape<LINE>rate from magical<LINE>attacks by 5 pts.<END>	150
Magical Greaves	Boots	All	Kneepiece								10			5	5								Increases escape<LINE>rate of magi/physi<LINE>attacks by 5 pts.<END>	300
Dancer's Boots	Boots	Female	Boots								20												Gives 20 pts. <LINE>more agility.<END>	500
Bandit's Shoes	Boots	Male	Shoes								20												Gives 20 pts.<LINE>more agility.<END>	300
																							 <END>	2
Poison Guard	Accessory	All	Ring															Poison					Avoids the<LINE>abnormal status<LINE>poison.<END>	200
Active Ring	Accessory	All	Ring															Dispirit					Avoids the<LINE>abnormal status<LINE>dispiriting.<END>	200
Protector	Accessory	All	Ring															Arm Blocking					Avoids the<LINE>abnormal status<LINE>arm blocking.<END>	200
Panic Guard	Accessory	All	Ring															Confusion					Avoids the<LINE>abnormal status<LINE>confusion.<END>	300
Stun Guard	Accessory	All	Ring															Stun					Avoids abnormal <LINE>status from<LINE>being stunned.<END>	200
Bravery Amulet	Accessory	All	Ring															Fear					Avoids the<LINE>abnormal status<LINE>fear.<END>	300
Magic Ego Bell	Accessory	All	Bell															Bewitchment					Avoids the <LINE>abnormal status<LINE>bewitchment.<END>	300
Destone Amulet	Accessory	All	Amulet															Petrification					Avoids the<LINE>abnormal status<LINE>petrification.<END>	400
Power Wrist	Accessory	All	Ring				10																Raises physical <LINE>attack ability<LINE>slightly.<END>	200
Knight Shield	Accessory	All	Ring						10														Raises physical<LINE>defense power<LINE>slightly.<END>	200
Magical Ring	Accessory	All	Ring					30															Raises magical<LINE>attacking power.<END>	600
Spiritual Ring	Accessory	All	Ring							30													Raises magical<LINE>defense power.<END>	600
Attack Badge	Accessory	All	Ring				20	20															Raises physical<LINE>& magical <LINE>attacking power.<END>	1000
Guard Badge	Accessory	All	Ring						20	20													Raises physical<LINE>& magical<LINE>defense power.<END>	1000
Giganto Ring	Accessory	All	Ring				20		20														Raises physical <LINE>attack & defense <LINE>power.<END>	1000
Elude Cloak	Accessory	All	Cloak											20									Increases escape<LINE>rate from physical<LINE>attack by 20 pts.<END>	300
Spirit Cloak	Accessory	All	Cloak												20								Increases escape<LINE>rate from magical<LINE>attack by 20 pts.<END>	300
Sage's Cloak	Accessory	All	Cloak											20	20								Increases A-AV<LINE>and M-AV by<LINE>by 20 pts.<END>	600
Physical Ring	Accessory	All	Ring																	hp_multi	50		Raises maximum<LINE>HP 50%.<END>	1000
Amulet	Accessory	All	Amulet																	mp_multi	100		Doubles <LINE>maximum MP.<END>	1000
Wargod's Sash	Accessory	All	Ring																sp_multi		50		Raises SP 50%.<END>	1000
Spirit Ring	Accessory	All	Ring																	sp_regen	20		Recovers SP <LINE>each turn.<END>	500
Therapy Ring	Accessory	All	Ring																	hp_regen	10		Recovers HP  <LINE>each turn.<END>	500
Mage Ring	Accessory	All	Ring																	mp_regen	10		Recovers MP <LINE>each turn.<END>	500
Wargod's Amulet	Accessory	All	Amulet									20	20										Increases hit <LINE>rate for attacking<LINE>all by 20%.<END>	500
Talisman	Accessory	All	Amulet																			death_res	Avoids instant<LINE>death.<END>	500
																							 <END>	500
Holy Ankh	Accessory	All	Ring																	revive	40		Revives from <LINE>death with a <LINE>given probability.<END>	500
Dancer's Ring	Accessory	All	Ring								20												Increases agility<LINE>by 20 pts.<END>	500
																							 <END>	500
Bandit's Ring	Accessory	All	Ring								20												Increases agility<LINE>by 20 pts.<END>	500
Red-Eye Stone	Accessory	All	Stone													Fire							Reduces damage<LINE>from fire-based <LINE>attack by half.<END>	500
Jade Stone	Accessory	All	Stone													Wind							Reduces damage<LINE>from wind-based<LINE>attack by half.<END>	500
Silver Stone	Accessory	All	Stone													Light							Reduces damage<LINE>from light-based<LINE>attack by half.<END>	500
Darkness Stone	Accessory	All	Stone													Dark							Reduces damage<LINE>from darkness-based<LINE>attacks by half.<END>	500
Blue Sea Stone	Accessory	All	Stone													Water							Reduces damage<LINE>from water-based<LINE>attack by half.<END>	500
Violet Stone	Accessory	All	Stone													Thunder							Reduces damage<LINE>from thunder-based<LINE>attack by half.<END>	500
Golden Stone	Accessory	All	Stone													Earth							Reduces damage<LINE>from earth-based<LINE>attack by half.<END>	500
																							 <END>	200
Ruby Ring	Accessory	All	Ring																sp_m_hit		20		When damaged by<LINE>magic SP is <LINE>accumulated.<END>	1000
Sapphire Pin	Accessory	All	Ring																mp_m_hit		10		When damaged by<LINE>magic MP is <LINE>accumulated.<END>	1000
Rainbow Earring	Accessory	All	Ring															All					Avoids all<LINE>abnormal status.<END>	1000
																							 <END>	2
Emerald Earring	Accessory	All	Ring																sp_p_hit		20		When physically<LINE>damaged SP is<LINE>accumulated.<END>	1000
																							 <END>	2
Platinum Collar	Accessory	All	Ring																mp_p_hit		10		When physically<LINE>damaged MP is<LINE>accumulated.<END>	1000
Phantom Shield	Accessory	All	Ring																p_half	m_half			Reduces damage<LINE>from all attacks <LINE>by half.<END>	10000
Dragon Shield	Accessory	All	Ring																p_half				Reduces physical<LINE>damage by half.<END>	5000
Angel Scarf	Accessory	All	Scarf																	m_half			Reduces damage<LINE>from magic<LINE>by half.<END>	5000
Bracelet	Accessory	All	Bracelet																				 <END>	10
Fake Power Wrist	Accessory	All	Ring				5																May slightly<LINE>increase physical <LINE>attack power.<END>	100
Fake Shield	Accessory	All	Ring						5														May slightly<LINE>increase physical<LINE>defense power.<END>	100
																							 <END>	50
Wargod Calling	Accessory	All	Ring																				Automatic Addition:<LINE>Half Damage and SP.<END>	1000
Ultimate Wargod	Accessory	All	Ring																				Makes Addition<LINE>completely<LINE>successful.<END>	10000
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	2
																							 <END>	4
